instruction	old 	new

LDA 		10	04
ADD		20	08
SUB		30	0C
JMP		40	10
STA		60	18
INM		80	20
OPM		90	24
JPZ		A0	28
JNZ		B0	2C
JPC		C0	30
JNC		D0	34
OUT		E0	38
OPI		14	44
INI		84	60
INM		80	20
INC		B4	6C
DEC		C4	70
INC A		B8	AC
DEC A		C8	B0
SUI		04	40
MOV XX YY 	D4	74
IOP		A4	68

INI 		84	60
